id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price
1,Viman Nagar,1521,1,1,2016,0,4315847
2,Kalyani Nagar,2957,1,2,2003,1,12861115
3,Pimpri-Chinchwad,2816,3,2,1993,0,8615274
4,Kalyani Nagar,2869,3,1,2000,1,5360008
5,Kalyani Nagar,1285,3,3,2012,0,6412778
7,Pimpri-Chinchwad,2602,4,2,2019,1,9289185
8,Pimpri-Chinchwad,1997,4,3,1995,1,12102698
9,Pimpri-Chinchwad,2982,5,1,2006,1,9982144
10,Kalyani Nagar,1079,1,3,2003,0,4569237
11,Viman Nagar,1959,3,2,1990,1,12105141
12,Pimpri-Chinchwad,1067,1,3,1986,0,5849347
13,Kalyani Nagar,1193,3,3,1984,1,4998729
15,Viman Nagar,2739,2,2,2022,0,7908901
17,Viman Nagar,2869,4,1,1983,1,11682433
18,Kalyani Nagar,2632,3,2,1993,0,13874784
20,Viman Nagar,1947,3,1,1984,1,9760819
22,Kalyani Nagar,2095,3,2,1987,0,6463631
23,Viman Nagar,1457,4,2,2014,1,2176711
26,Pimpri-Chinchwad,2856,4,1,1990,1,11955422
27,Pimpri-Chinchwad,1678,1,3,1995,0,14623759
29,Viman Nagar,1841,1,1,2017,0,6523059
30,Viman Nagar,1036,4,2,1994,1,2682846
31,Pimpri-Chinchwad,1503,2,1,2018,0,6275176
32,Viman Nagar,2117,1,3,2018,1,3836638
33,Viman Nagar,2688,4,2,1990,0,6533464
35,Pimpri-Chinchwad,1419,5,3,1995,1,6207573
36,Kalyani Nagar,2927,3,3,2006,0,6681381
37,Pimpri-Chinchwad,3235,3,3,2004,1,7505409
38,Kalyani Nagar,1769,2,1,2019,1,9995720
41,Viman Nagar,2547,5,2,2015,0,4668387
43,Viman Nagar,2786,5,1,2018,0,4492563
48,Kalyani Nagar,2767,1,3,2018,1,14219214
50,Viman Nagar,1637,3,3,1992,0,11361345
51,Viman Nagar,929,4,1,1989,1,8691688
52,Viman Nagar,2619,1,3,1990,0,9082502
53,Viman Nagar,2959,4,2,1986,0,6220141
54,Kalyani Nagar,2029,4,2,2012,0,14038219
55,Pimpri-Chinchwad,2772,1,1,2012,0,11948701
57,Viman Nagar,1062,3,3,2000,0,13598980
59,Viman Nagar,1620,2,1,2009,1,2420717
62,Viman Nagar,3353,3,2,1989,1,9183562
63,Kalyani Nagar,3300,4,1,2013,0,6660280
66,Viman Nagar,2149,5,2,1983,0,11472523
69,Viman Nagar,2177,4,2,1989,1,2783913
70,Viman Nagar,2081,1,1,1992,1,12371631
72,Kalyani Nagar,1203,1,3,2008,0,10359246
73,Kalyani Nagar,1641,5,1,1988,1,10163570
75,Kalyani Nagar,1564,2,3,2019,0,11489889
78,Viman Nagar,1159,5,2,2013,1,3201379
79,Viman Nagar,3124,4,2,2003,0,8831299
80,Viman Nagar,1521,5,2,1990,1,3725167
81,Kalyani Nagar,3331,2,3,2019,1,2330370
83,Kalyani Nagar,2485,1,2,1991,1,4682870
84,Kalyani Nagar,2529,5,3,1994,1,5290497
89,Viman Nagar,873,2,2,2017,0,10680612
90,Pimpri-Chinchwad,2568,1,2,2005,1,12141244
91,Pimpri-Chinchwad,1918,2,1,1994,0,5845037
93,Pimpri-Chinchwad,2098,1,1,2004,0,13985114
94,Pimpri-Chinchwad,2137,3,2,1997,1,14595689
96,Pimpri-Chinchwad,2496,1,2,2001,1,11048085
97,Kalyani Nagar,2652,3,1,1992,0,3573432
101,Viman Nagar,856,3,1,1986,0,2801599
103,Viman Nagar,890,5,3,2012,0,14061670
106,Kalyani Nagar,1214,1,1,1989,0,7607709
107,Pimpri-Chinchwad,1435,3,3,2004,0,6492018
108,Viman Nagar,2032,2,3,1991,1,2856857
109,Pimpri-Chinchwad,1062,4,1,2001,0,3304704
110,Pimpri-Chinchwad,1544,1,2,1985,0,9545489
112,Pimpri-Chinchwad,2448,1,3,2011,1,5110490
113,Kalyani Nagar,2962,3,3,2006,1,7090538
114,Pimpri-Chinchwad,3244,4,3,1982,1,2001103
116,Kalyani Nagar,1406,3,3,2001,1,4548638
118,Pimpri-Chinchwad,2344,2,3,2018,0,3148498
122,Viman Nagar,1167,3,2,1998,0,5445885
123,Kalyani Nagar,1929,1,2,1980,0,2929575
124,Pimpri-Chinchwad,860,3,3,2001,1,9757323
126,Viman Nagar,1172,1,2,2020,0,9621114
127,Kalyani Nagar,3094,2,3,2011,1,14801988
128,Viman Nagar,1222,1,3,1994,0,4408877
129,Kalyani Nagar,3115,4,1,2014,0,14085503
130,Kalyani Nagar,1137,1,1,2022,1,3953614
131,Pimpri-Chinchwad,2276,2,1,1996,1,8897115
132,Kalyani Nagar,1412,5,2,1988,1,8447594
133,Viman Nagar,3262,4,1,2018,1,14161300
134,Kalyani Nagar,2831,5,3,2020,0,12735271
135,Pimpri-Chinchwad,3381,5,2,1996,0,5808013
136,Pimpri-Chinchwad,1316,2,1,1998,1,9851051
137,Viman Nagar,2931,2,1,2021,0,6145957
140,Kalyani Nagar,2027,1,1,2015,0,8155434
142,Kalyani Nagar,863,4,2,1992,1,8088673
143,Viman Nagar,3101,2,2,2006,1,12154814
144,Viman Nagar,2232,1,3,1982,0,3563674
145,Viman Nagar,2460,1,1,1991,1,11362083
146,Viman Nagar,1183,5,2,1988,0,3402031
147,Viman Nagar,2945,3,3,1989,0,2929919
148,Pimpri-Chinchwad,924,4,1,2002,0,6967989
150,Viman Nagar,3379,2,2,2023,0,12306327
155,Pimpri-Chinchwad,2762,2,2,2003,1,3559093
157,Viman Nagar,2636,5,3,2003,1,5539185
158,Kalyani Nagar,961,4,3,1999,1,12814105
160,Pimpri-Chinchwad,3275,2,3,1996,1,8485018
161,Pimpri-Chinchwad,1567,1,1,2014,1,12556208
163,Kalyani Nagar,2275,5,3,2002,0,13933424
165,Pimpri-Chinchwad,3410,1,3,1982,1,14428329
167,Viman Nagar,2958,1,2,2015,0,6068304
168,Pimpri-Chinchwad,1958,1,1,2016,1,12779939
170,Viman Nagar,3037,4,3,1996,0,2300271
174,Viman Nagar,1336,4,2,1996,0,9480288
175,Viman Nagar,1432,1,1,2020,1,6703936
177,Pimpri-Chinchwad,2783,1,2,1991,0,11721322
179,Kalyani Nagar,2848,1,1,1998,1,9295537
182,Pimpri-Chinchwad,2251,3,2,2007,0,4283337
186,Viman Nagar,2499,2,3,1992,0,2494222
187,Kalyani Nagar,801,3,2,1998,0,2937991
190,Pimpri-Chinchwad,1622,1,3,1990,1,5591953
192,Kalyani Nagar,2879,3,3,2002,1,2347220
193,Viman Nagar,1921,4,3,1997,0,4657608
195,Viman Nagar,1577,5,1,1997,0,7162992
196,Pimpri-Chinchwad,3318,4,2,2003,1,13560257
197,Pimpri-Chinchwad,1170,1,3,1980,0,14604032
199,Kalyani Nagar,1001,4,3,2001,0,8352999
200,Viman Nagar,3366,3,2,1986,1,12986817
202,Pimpri-Chinchwad,3092,5,3,1990,1,7589669
205,Viman Nagar,1270,3,1,1998,0,6611290
206,Pimpri-Chinchwad,1923,3,3,1997,0,7217165
207,Kalyani Nagar,2854,2,2,1982,0,2545615
208,Pimpri-Chinchwad,1577,5,2,1985,0,7664135
209,Viman Nagar,1195,3,3,2016,1,5925466
210,Viman Nagar,1278,5,3,1982,0,8474298
211,Pimpri-Chinchwad,1732,5,2,1990,1,9329762
212,Viman Nagar,953,1,1,2013,0,6283957
213,Pimpri-Chinchwad,804,4,3,1996,1,14483150
215,Pimpri-Chinchwad,1574,3,3,1986,0,2977865
