Title,Price,Area,Link
"2 BHK Flat for Sale in Kolte Patil Life Republic, Hinjewadi, Pune","₹ 75.2 Lac","768 sqft","https://www.magicbricks.com/kolte-patil-life-republic-hinjewadi-pune-pdpid-4d4235303231313837"
"3 BHK Flat for Sale in The Gale at Godrej Park World, Hinjewadi, Pune","₹ 1.74 Cr","1404 sqft","https://www.magicbricks.com/the-gale-at-godrej-park-world-hinjewadi-pune-pdpid-4d4235343139323231"
"3 BHK Flat for Sale in Lodha Magnus, Hinjewadi, Pune","₹ 2.05 Cr","1388 sqft","https://www.magicbricks.com/lodha-magnus-hinjewadi-pune-pdpid-4d4235343231303531"
"2 BHK Flat for Sale in Kohinoor Central Park, Hinjewadi, Pune","₹ 90.8 Lac","803 sqft","https://www.magicbricks.com/kohinoor-central-park-hinjewadi-phase-2-pune-pdpid-4d4235343231333531"
"3 BHK Flat for Sale in Ashiana Malhar, Hinjewadi, Pune","₹ 1.04 Cr","1045 sqft","https://www.magicbricks.com/ashiana-malhar-hinjewadi-pune-pdpid-4d4235333334343239"
"2 BHK Flat for Sale in Rahul Aston, Hinjewadi, Pune","₹ 1.01 Cr","795 sqft","https://www.magicbricks.com/rahul-aston-hinjewadi-phase-1-pune-pdpid-4d4235323138333733"
"3 BHK Flat for Sale in Kasturi Eon Homes, Hinjewadi, Pune","₹ 1.27 Cr","973 sqft","https://www.magicbricks.com/kasturi-eon-homes-hinjewadi-pune-pdpid-4d4235303231333036"
"3 BHK Flat for Sale in Pride Park Titan, Hinjewadi, Pune","₹ 1.32 Cr","1060 sqft","https://www.magicbricks.com/pride-park-titan-marunji-pune-pdpid-4d4235333235333539"
"3 BHK Flat for Sale in Kohinoor Central Park, Hinjewadi, Pune","₹ 1.08 Cr","955 sqft","https://www.magicbricks.com/kohinoor-central-park-hinjewadi-phase-2-pune-pdpid-4d4235343231333531"
"3 BHK Flat for Sale in Lodha Panache, Hinjewadi, Pune","₹ 1.38 Cr","1088 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"2 BHK Flat for Sale in Saheel Landmarc, Hinjewadi, Pune","₹ 82.3 Lac","734 sqft","https://www.magicbricks.com/saheel-landmarc-hinjewadi-phase-3-pune-pdpid-4d4235343335333931"
"3 BHK Flat for Sale in Pride Park Titan, Hinjewadi, Pune","₹ 1.28 Cr","1060 sqft","https://www.magicbricks.com/pride-park-titan-marunji-pune-pdpid-4d4235333235333539"
"3 BHK Flat for Sale in The Greenfront at Godrej Park World, Hinjewadi, Pune","₹ 1.49 Cr","1198 sqft","https://www.magicbricks.com/the-greenfront-at-godrej-park-world-hinjewadi-phase-1-pune-pdpid-4d4235343331333635"
"3 BHK Flat for Sale in Shapoorji Pallonji Sensorium, Hinjewadi, Pune","₹ 1.06 Cr","973 sqft","https://www.magicbricks.com/shapoorji-pallonji-sensorium-hinjewadi-pune-pdpid-4d4235323032333933"
"2 BHK Flat for Sale in GLOBAL INSPIRA, Hinjewadi, Pune","₹ 87.5 Lac","846 sqft","https://www.magicbricks.com/global-inspira-maan-pune-pdpid-4d4235343139393739"
"3 BHK Flat for Sale in Kolte Patil Life Republic Aros, Hinjewadi, Pune","₹ 1.03 Cr","1060 sqft","https://www.magicbricks.com/kolte-patil-life-republic-aros-hinjewadi-pune-pdpid-4d4235333836353039"
"2 BHK Flat for Sale in Lodha Panache, Hinjewadi, Pune","₹ 1.27 Cr","997 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"3 BHK Flat for Sale in Lodha Panache, Hinjewadi, Pune","₹ 1.64 Cr","1291 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
