"Title","Price","Area","Link"
"3 BHK Apartment for Sale in Kharadi Pune","1.45 Cr","1080 sqft",""
"2 BHK Apartment for Sale in Vascon Forest County EON Free Zone Kharadi Pune","1.70 Cr","950 sqft","https://www.magicbricks.com/vascon-forest-county-eon-free-zone-pune-pdpid-4d4235303136393032"
"2 BHK Apartment for Sale in Vilas Javdekar Yashwin Orizzonte Vitthal Nagar Kharadi Pune","1.15 Cr","754 sqft","https://www.magicbricks.com/vilas-javdekar-yashwin-orizzonte-vitthal-nagar-kharadi-pune-pdpid-4d4235313838393832"
"3 BHK Apartment for Sale in Goel Ganga Platino Kharadi Pune","2.39 Cr","1368 sqft","https://www.magicbricks.com/goel-ganga-platino-kharadi-pune-pdpid-4d4235303238373730"
"3 BHK Apartment for Sale in Gera Planet Of Joy Kharadi Pune","1.85 Cr","1200 sqft","https://www.magicbricks.com/gera-planet-of-joy-kharadi-pune-pdpid-4d4235333234323631"
"2 BHK Apartment for Sale in Nyati Elysia Thite Nagar Kharadi Pune","1.20 Cr","800 sqft","https://www.magicbricks.com/nyati-elysia-thite-nagar-pune-pdpid-4d4235303230303139"
"2 BHK Apartment for Sale in Vascon Forest County Kharadi Pune","1.75 Cr","950 sqft","https://www.magicbricks.com/vascon-forest-county-kharadi-pune-pdpid-4d4235303136393032"
"3 BHK Apartment for Sale in Panchshil Towers EON Free Zone Kharadi Pune","4.40 Cr","2200 sqft","https://www.magicbricks.com/panchshil-towers-eon-free-zone-pune-pdpid-4d4235303139383033"
"3 BHK Apartment for Sale in Panchshil Towers Kharadi Pune","3.78 Cr","1721 sqft","https://www.magicbricks.com/panchshil-towers-kharadi-pune-pdpid-4d4235303139383033"
"3 BHK Apartment for Sale in Goel Ganga Platino EON Free Zone Kharadi Pune","2.40 Cr","1450 sqft","https://www.magicbricks.com/goel-ganga-platino-eon-free-zone-pune-pdpid-4d4235303238373730"
"2 BHK Apartment for Sale in Majestique Marbella Kharadi Pune","1.15 Cr","815 sqft","https://www.magicbricks.com/majestique-marbella-kharadi-pune-pdpid-4d4235313838343534"
"3 BHK Apartment for Sale in Thite Nagar Kharadi Pune","2.40 Cr","1688 sqft",""
"2 BHK Apartment for Sale in Nyati Elysia Kharadi Pune","1.35 Cr","796 sqft","https://www.magicbricks.com/nyati-elysia-kharadi-pune-pdpid-4d4235303230303139"
