Title,Price,Society,Area,Possession,Link
"3 BHK Flat for Sale in Lodha Estilo, Kharadi, Pune","₹
3.06 Cr",Lodha Estilo,N/A,N/A,
"3 BHK Flat for Sale in Majestique Evolvus, Kharadi, Pune","₹
1.63 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Lodha Estilo, Kharadi, Pune","₹
2.56 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Palm Drive, Kharadi, Pune","₹
1.16 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Palm Drive, Kharadi, Pune","₹
1.16 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Majestique Evolvus, Kharadi, Pune","₹
1.63 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Mahindra IvyLush, Kharadi, Pune","₹
1.30 Cr",N/A,N/A,N/A,
"2 BHK Flat for Sale in Unique Youtopia, Kharadi, Pune","₹
1.21 Cr",N/A,N/A,N/A,
"2 BHK Flat for Sale in Mahalaxmi Zen Elite, Kharadi, Pune","₹
1.61 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Nyati Elysia, Kharadi, Pune","₹
1.16 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Lodha Giardino, Kharadi, Pune","₹
1.66 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Panchshil Towers, Kharadi, Pune","₹
3.54 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Duville Riverdale Grand, Kharadi, Pune","₹
1.59 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Unique Youtopia, Kharadi, Pune","₹
1.78 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Duville Riverdale Grand, Kharadi, Pune","₹
1.59 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Duville Riverdale Grand, Kharadi, Pune","₹
2.08 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Pristine O2 World, Kharadi, Pune","₹
1.24 Cr",N/A,N/A,N/A,
"2 BHK Flat for Sale in VTP Euphoria, Kharadi, Pune","₹
72.3 Lac",N/A,N/A,N/A,
"3 BHK Flat for Sale in Lodha Estilo, Kharadi, Pune","₹
2.56 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Duville Riverdale Grand, Kharadi, Pune","₹
1.59 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in Gera World of Joy, Kharadi, Pune","₹
1.34 Cr",N/A,N/A,N/A,
"2 BHK Flat for Sale in Vasupujya Neco Park Central, Kharadi, Pune","₹
93 Lac",N/A,N/A,N/A,
"3 BHK Flat for Sale in Palladio Kharadi Central Phase 2, Kharadi, Pune","₹
1.37 Cr",N/A,N/A,N/A,
"2 BHK Flat for Sale in Palladio Kharadi Central Phase 2, Kharadi, Pune","₹
94.2 Lac",N/A,N/A,N/A,
"3 BHK Flat for Sale in Unique Youtopia, Kharadi, Pune","₹
1.78 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in VTP Euphoria, Kharadi, Pune","₹
1.32 Cr",N/A,N/A,N/A,
"3 BHK Flat for Sale in VTP Dolce Vita, Kharadi, Pune","₹
1.83 Cr",VTP Dolce Vita,N/A,N/A,
"2 BHK Flat for Sale in Mahindra IvyLush, Kharadi, Pune","₹
93.9 Lac",Mahindra IvyLush,N/A,N/A,
"2 BHK Flat for Sale in VTP Euphoria, Kharadi, Pune","₹
98 Lac",VTP Euphoria,N/A,N/A,
"3 BHK Flat for Sale in Kharadi, Pune","₹
1.45 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Goel Ganga Serio, Kharadi Pune","₹
1.60 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Duville Riverdale Residences, Kharadi Pune","₹
1.75 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Lodha Giardino, Kharadi Pune","₹
2.21 Cr",N/A,N/A,N/A,
3 BHK Apartment for Sale in Kharadi Pune,"₹
96 Lac",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Pristine O2 World, Kharadi Pune","₹
1.88 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune","₹
1.16 Cr",VTP Dolce Vita,N/A,N/A,
"3 BHK Apartment for Sale in Pristine O2 World, Ubale Nagar Pune","₹
1.38 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in VTP Dolce Vita, EON Free Zone, Kharadi Pune","₹
1.30 Cr",VTP Dolce Vita,N/A,N/A,
"3 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune","₹
1.34 Cr",Flamante By VTP Luxe Phase 1,N/A,N/A,
"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune","₹
84 Lac",Flamante By VTP Luxe Phase 1,N/A,N/A,
"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune","₹
3.80 Cr",N/A,N/A,N/A,
"2 BHK Apartment for Sale in Vilas Javdekar Yashwin Orizzonte, Kharadi Pune","₹
1.15 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune","₹
1.48 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune","₹
3.10 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Goel Ganga Platino, Kharadi Pune","₹
2.40 Cr",N/A,N/A,N/A,
3 BHK Apartment for Sale in Kharadi Pune,"₹
2.60 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Lodha Estilo, Kharadi Pune","₹
3.10 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Majestique Evolvus, Kharadi Pune","₹
1.66 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Vilas Javdekar, Kharadi Pune","₹
1.38 Cr",N/A,N/A,N/A,
"3 BHK Apartment for Sale in Majestique Evolvus, Kharadi Pune","₹
1.91 Cr",N/A,N/A,N/A,
